selection_order,id,source_group,class_id,class_key,same_uniprot,cluster_id,cv_fold,length_R,length_L,total_length,selection_reason,selection_hash
1,6in7__B1_Q06198--6in7__A1_P38107,feasibility50,1,robust_correct,False,cluster_120_14943,2,174,79,253,existing_multiseed_anchor,135543812552235492
2,1mr1__A1_Q13485--1mr1__D1_P12755,feasibility50,1,robust_correct,False,cluster_5412_9566,0,195,96,291,existing_multiseed_anchor,420287228084539741
3,1foe__A1_Q60610--1foe__B1_P63000,group3,1,robust_correct,False,cluster_31199_437,1,362,177,539,maximin_feature_diversity,467557527570488929
4,5eu0__A1_E6YJU0--5eu0__B1_E6YLF5,feasibility50,1,robust_correct,False,cluster_23608_7519,3,213,55,268,existing_multiseed_anchor,555061428055832900
5,7e36__B1_A0A318JQQ2--7e36__A1_A0A318JWT9,group1,1,robust_correct,False,cluster_2478_2478,4,395,319,714,maximin_feature_diversity,815613738020446712
6,2zix__A1_Q96NY9--2zix__B1_Q96AY2,group3,1,robust_correct,False,cluster_17466_17467,2,270,259,529,maximin_feature_diversity,836491412300914228
7,1a22__B1_P10912--1a22__A1_P01241,group1,1,robust_correct,False,cluster_6219_725,0,192,180,372,maximin_feature_diversity,932856472288375460
8,6xwx__A1_G0S825--6xwx__B1_G0S0S7,group1,1,robust_correct,False,cluster_28935_28936,1,564,84,648,maximin_feature_diversity,1181238369469947571
9,4lo8__A1_Q8KHU9--4lo8__B1_Q45878,group2,1,robust_correct,False,cluster_35631_3875,3,233,143,376,maximin_feature_diversity,1257461213383015230
10,6hmv__A1_Q9H3P7--6hmv__B1_Q68T42,group3,1,robust_correct,False,cluster_12667_12668,4,126,43,169,maximin_feature_diversity,1335363088536582998
11,5b5w__A1_Q8BPB0--5b5w__B1_O95835,group2,1,robust_correct,False,cluster_17511_722,2,172,64,236,maximin_feature_diversity,1366340721900986498
12,6zht__A1_P22515--6zht__B1_P52490,group3,1,robust_correct,False,cluster_1408_4835,0,983,153,1136,maximin_feature_diversity,1606456029044893049
13,1s70__A1_P62207--1s70__B1_Q90623,group1,1,robust_correct,False,cluster_1544_583,1,309,291,600,maximin_feature_diversity,1666967469821365860
14,5lxr__A1_Q9Y580--5lxr__B1_Q6NZY4,group2,1,robust_correct,False,cluster_34680_993,3,80,40,120,maximin_feature_diversity,2119897012180414225
15,2wmp__A1_Q1R2W9--2wmp__B1_Q47445,group1,1,robust_correct,False,cluster_1398_4477,4,216,123,339,maximin_feature_diversity,2245445135201622514
16,3tbi__B1_P0A8V2--3tbi__A1_P13338,group2,1,robust_correct,False,cluster_118_18261,2,226,69,295,maximin_feature_diversity,2409385648474708473
17,5y61__A1_Q9I4L4--5y61__B1_Q9I4L6,feasibility50,1,robust_correct,False,cluster_1923_1924,0,151,123,274,existing_multiseed_anchor,3143377139145400535
18,4qpl__A1_Q9CZW6--4qpl__B1_P51668,group2,1,robust_correct,False,cluster_10878_1408,1,153,149,302,maximin_feature_diversity,3345055851129178297
19,2vlo__B1_P09883--2vlo__A1_P13479,feasibility50,1,robust_correct,False,cluster_1180_1251,3,132,90,222,existing_multiseed_anchor,3389327193748202644
20,5hy7__A1_G0S5A2--5hy7__B1_G0S133,group1,1,robust_correct,False,cluster_606_607,4,1173,55,1228,maximin_feature_diversity,3442511196439169715
21,6s6a__A1_Q7L523--6s6a__C1_Q9HB90,feasibility50,1,robust_correct,False,cluster_1197_6745,2,298,273,571,existing_multiseed_anchor,3723619448713535914
22,1tf0__A1_P02768--1tf0__B1_Q51911,feasibility50,1,robust_correct,False,cluster_11836_4106,0,556,53,609,existing_multiseed_anchor,3724267008181799177
23,2r17__C1_Q96QK1--2r17__A1_Q9UBQ0,feasibility50,1,robust_correct,False,cluster_4561_4562,1,294,179,473,existing_multiseed_anchor,3935871875309028944
24,2h7z__B1_A0S865--2h7z__A1_A0S864,group3,1,robust_correct,False,cluster_1356_1356,3,77,75,152,maximin_feature_diversity,4113965996334112429
25,2ga9__B1_P23371--2ga9__A1_P07617,feasibility50,1,robust_correct,False,cluster_2277_32196,4,445,288,733,existing_multiseed_anchor,4216247550954897690
26,4bi8__B1_S4S1W1--4bi8__A1_S4S1W3,feasibility50,1,robust_correct,False,cluster_6528_6558,2,163,94,257,existing_multiseed_anchor,4587592972534363069
27,3aon__A1_P43435--3aon__B1_P43455,group1,1,robust_correct,False,cluster_1962_24749,0,180,99,279,maximin_feature_diversity,4781641849059133640
28,1ory__A1_O67806--1ory__B1_O67803,feasibility50,1,robust_correct,False,cluster_14960_5179,1,119,40,159,existing_multiseed_anchor,4815458026935343817
29,5kyy__B1_O94855--5kyy__A1_Q15436,group3,1,robust_correct,False,cluster_1304_1306,3,767,716,1483,maximin_feature_diversity,4840101152884022034
30,1tej__B1_P0C6B5--1tej__A1_P0C6B4,group2,1,robust_correct,False,cluster_4254_4254,4,63,62,125,maximin_feature_diversity,5086111799824738643
31,6j2u__B1_Q93HL2--6j2u__A1_Q93HL1,feasibility50,1,robust_correct,False,cluster_2607_2647,2,273,72,345,existing_multiseed_anchor,5094583411283072606
32,3lbx__B1_P11277--3lbx__A1_P02549,group1,1,robust_correct,False,cluster_8658_8658,0,182,140,322,maximin_feature_diversity,5443124298525147724
33,2gsm__A1_P33517--2gsm__B1_Q03736,feasibility50,1,robust_correct,False,cluster_1898_1904,1,535,256,791,existing_multiseed_anchor,5444517198751273614
34,5jkt__A1_P20536--5jkt__B1_P20995,group1,1,robust_correct,False,cluster_7852_7853,3,221,51,272,maximin_feature_diversity,5545093543522044699
35,5vzt__B1_Q5XUX0--5vzt__A1_P63208,group1,1,robust_correct,False,cluster_16010_1706,4,418,145,563,maximin_feature_diversity,5808074714709429639
36,2zjs__A1_Q5SHQ8--2zjs__B1_P38383,group1,1,robust_correct,False,cluster_17947_757,2,415,46,461,maximin_feature_diversity,5838822637018320095
37,4xyd__A1_Q16A04--4xyd__B1_Q16A03,feasibility50,1,robust_correct,False,cluster_17742_17743,0,445,145,590,existing_multiseed_anchor,5851813511200443218
38,4mgy__A1_Q9EQZ6--4mgy__B1_P61224,group1,1,robust_correct,False,cluster_24946_437,1,627,150,777,maximin_feature_diversity,6012295976531373890
39,6p7y__A1_J7H333--6p7y__B1_P52799,group3,1,robust_correct,False,cluster_4810_8064,3,430,137,567,maximin_feature_diversity,6083144515266189288
40,6rm9__A1_G0SEG4--6rm9__B1_G0SFN3,group1,1,robust_correct,False,cluster_2194_31575,4,654,40,694,maximin_feature_diversity,6306625365935170539
41,3wxm__A1_Q9YAV0--3wxm__B1_Q9YAZ5,group1,1,robust_correct,False,cluster_12560_841,2,432,357,789,maximin_feature_diversity,6489024116286751135
42,4fqb__B1_Q9I2Q0--4fqb__A1_Q9I2Q1,feasibility50,1,robust_correct,False,cluster_8105_8106,0,148,146,294,existing_multiseed_anchor,6662861223090022917
43,2b11__A1_P00431--2b11__B1_P00044,group2,1,robust_correct,False,cluster_1375_1918,1,294,108,402,maximin_feature_diversity,6700585188503843246
44,4noo__A1_Q9KN42--4noo__B1_Q9KN41,feasibility50,1,robust_correct,False,cluster_12779_12780,3,197,92,289,existing_multiseed_anchor,6752702832263272790
