pinder_release,cohort,id,pdb_id,cluster_id,cluster_id_R,cluster_id_L,uniprot_R,uniprot_L
2024-02,PINDER-AF2,7rzb__A1_A0A229LVN5--7rzb__A2_A0A229LVN5,7rzb,cluster_16129_16129,cluster_16129,cluster_16129,A0A229LVN5,A0A229LVN5
2024-02,PINDER-AF2,7uln__A1_P09514--7uln__B1_P09514,7uln,cluster_37282_37282,cluster_37282,cluster_37282,P09514,P09514
2024-02,PINDER-AF2,7dnu__A1_P32092--7dnu__A2_P32092,7dnu,cluster_6941_6941,cluster_6941,cluster_6941,P32092,P32092
2024-02,PINDER-AF2,8b3s__A1_O31597--8b3s__B1_A0A164W157,8b3s,cluster_13577_13578,cluster_13577,cluster_13578,O31597,A0A164W157
2024-02,PINDER-AF2,8oqj__B1_P06959--8oqj__A1_P06959,8oqj,cluster_3735_3735,cluster_3735,cluster_3735,P06959,P06959
2024-02,PINDER-AF2,8gzy__A1_P0A9A6--8gzy__B1_UNDEFINED,8gzy,cluster_1605_2912,cluster_2912,cluster_1605,P0A9A6,UNDEFINED
2024-02,PINDER-AF2,8pr6__B1_A0A1Q6BKH4--8pr6__A1_A0A1Q6BKH4,8pr6,cluster_35772_35772,cluster_35772,cluster_35772,A0A1Q6BKH4,A0A1Q6BKH4
2024-02,PINDER-AF2,8j64__A1_Q967S9--8j64__B1_O00816,8j64,cluster_17150_17151,cluster_17150,cluster_17151,Q967S9,O00816
2024-02,PINDER-AF2,7ubk__B1_P03047--7ubk__A1_P03047,7ubk,cluster_31523_31523,cluster_31523,cluster_31523,P03047,P03047
2024-02,PINDER-AF2,7zj1__B1_P55265--7zj1__A1_P55265,7zj1,cluster_1209_1209,cluster_1209,cluster_1209,P55265,P55265
2024-02,PINDER-AF2,7ula__B1_Q88ND0--7ula__A1_Q88NC7,7ula,cluster_1260_37299,cluster_37299,cluster_1260,Q88ND0,Q88NC7
2024-02,PINDER-AF2,7zjc__A1_P0DV83--7zjc__A2_P0DV83,7zjc,cluster_26441_26441,cluster_26441,cluster_26441,P0DV83,P0DV83
2024-02,PINDER-AF2,8ju7__A1_Q9I2U4--8ju7__B1_Q9I2U4,8ju7,cluster_11373_11373,cluster_11373,cluster_11373,Q9I2U4,Q9I2U4
