pinder_release,cohort,id,pdb_id,cluster_id,cluster_id_R,cluster_id_L,uniprot_R,uniprot_L,source_group,class_id,class_key,cv_fold
2024-02,Training500,6in7__B1_Q06198--6in7__A1_P38107,6in7,cluster_120_14943,cluster_120,cluster_14943,Q06198,P38107,feasibility50,1,robust_correct,2
2024-02,Training500,1mr1__A1_Q13485--1mr1__D1_P12755,1mr1,cluster_5412_9566,cluster_5412,cluster_9566,Q13485,P12755,feasibility50,1,robust_correct,0
2024-02,Training500,1foe__A1_Q60610--1foe__B1_P63000,1foe,cluster_31199_437,cluster_31199,cluster_437,Q60610,P63000,group3,1,robust_correct,1
2024-02,Training500,5eu0__A1_E6YJU0--5eu0__B1_E6YLF5,5eu0,cluster_23608_7519,cluster_7519,cluster_23608,E6YJU0,E6YLF5,feasibility50,1,robust_correct,3
2024-02,Training500,7e36__B1_A0A318JQQ2--7e36__A1_A0A318JWT9,7e36,cluster_2478_2478,cluster_2478,cluster_2478,A0A318JQQ2,A0A318JWT9,group1,1,robust_correct,4
2024-02,Training500,2zix__A1_Q96NY9--2zix__B1_Q96AY2,2zix,cluster_17466_17467,cluster_17466,cluster_17467,Q96NY9,Q96AY2,group3,1,robust_correct,2
2024-02,Training500,1a22__B1_P10912--1a22__A1_P01241,1a22,cluster_6219_725,cluster_725,cluster_6219,P10912,P01241,group1,1,robust_correct,0
2024-02,Training500,6xwx__A1_G0S825--6xwx__B1_G0S0S7,6xwx,cluster_28935_28936,cluster_28935,cluster_28936,G0S825,G0S0S7,group1,1,robust_correct,1
2024-02,Training500,4lo8__A1_Q8KHU9--4lo8__B1_Q45878,4lo8,cluster_35631_3875,cluster_35631,cluster_3875,Q8KHU9,Q45878,group2,1,robust_correct,3
2024-02,Training500,6hmv__A1_Q9H3P7--6hmv__B1_Q68T42,6hmv,cluster_12667_12668,cluster_12667,cluster_12668,Q9H3P7,Q68T42,group3,1,robust_correct,4
2024-02,Training500,5b5w__A1_Q8BPB0--5b5w__B1_O95835,5b5w,cluster_17511_722,cluster_722,cluster_17511,Q8BPB0,O95835,group2,1,robust_correct,2
2024-02,Training500,6zht__A1_P22515--6zht__B1_P52490,6zht,cluster_1408_4835,cluster_4835,cluster_1408,P22515,P52490,group3,1,robust_correct,0
2024-02,Training500,1s70__A1_P62207--1s70__B1_Q90623,1s70,cluster_1544_583,cluster_1544,cluster_583,P62207,Q90623,group1,1,robust_correct,1
2024-02,Training500,5lxr__A1_Q9Y580--5lxr__B1_Q6NZY4,5lxr,cluster_34680_993,cluster_993,cluster_34680,Q9Y580,Q6NZY4,group2,1,robust_correct,3
2024-02,Training500,2wmp__A1_Q1R2W9--2wmp__B1_Q47445,2wmp,cluster_1398_4477,cluster_1398,cluster_4477,Q1R2W9,Q47445,group1,1,robust_correct,4
2024-02,Training500,3tbi__B1_P0A8V2--3tbi__A1_P13338,3tbi,cluster_118_18261,cluster_118,cluster_18261,P0A8V2,P13338,group2,1,robust_correct,2
2024-02,Training500,5y61__A1_Q9I4L4--5y61__B1_Q9I4L6,5y61,cluster_1923_1924,cluster_1923,cluster_1924,Q9I4L4,Q9I4L6,feasibility50,1,robust_correct,0
2024-02,Training500,4qpl__A1_Q9CZW6--4qpl__B1_P51668,4qpl,cluster_10878_1408,cluster_10878,cluster_1408,Q9CZW6,P51668,group2,1,robust_correct,1
2024-02,Training500,2vlo__B1_P09883--2vlo__A1_P13479,2vlo,cluster_1180_1251,cluster_1251,cluster_1180,P09883,P13479,feasibility50,1,robust_correct,3
2024-02,Training500,5hy7__A1_G0S5A2--5hy7__B1_G0S133,5hy7,cluster_606_607,cluster_607,cluster_606,G0S5A2,G0S133,group1,1,robust_correct,4
2024-02,Training500,6s6a__A1_Q7L523--6s6a__C1_Q9HB90,6s6a,cluster_1197_6745,cluster_1197,cluster_6745,Q7L523,Q9HB90,feasibility50,1,robust_correct,2
2024-02,Training500,1tf0__A1_P02768--1tf0__B1_Q51911,1tf0,cluster_11836_4106,cluster_4106,cluster_11836,P02768,Q51911,feasibility50,1,robust_correct,0
2024-02,Training500,2r17__C1_Q96QK1--2r17__A1_Q9UBQ0,2r17,cluster_4561_4562,cluster_4561,cluster_4562,Q96QK1,Q9UBQ0,feasibility50,1,robust_correct,1
2024-02,Training500,2h7z__B1_A0S865--2h7z__A1_A0S864,2h7z,cluster_1356_1356,cluster_1356,cluster_1356,A0S865,A0S864,group3,1,robust_correct,3
2024-02,Training500,2ga9__B1_P23371--2ga9__A1_P07617,2ga9,cluster_2277_32196,cluster_32196,cluster_2277,P23371,P07617,feasibility50,1,robust_correct,4
2024-02,Training500,4bi8__B1_S4S1W1--4bi8__A1_S4S1W3,4bi8,cluster_6528_6558,cluster_6558,cluster_6528,S4S1W1,S4S1W3,feasibility50,1,robust_correct,2
2024-02,Training500,3aon__A1_P43435--3aon__B1_P43455,3aon,cluster_1962_24749,cluster_1962,cluster_24749,P43435,P43455,group1,1,robust_correct,0
2024-02,Training500,1ory__A1_O67806--1ory__B1_O67803,1ory,cluster_14960_5179,cluster_5179,cluster_14960,O67806,O67803,feasibility50,1,robust_correct,1
2024-02,Training500,5kyy__B1_O94855--5kyy__A1_Q15436,5kyy,cluster_1304_1306,cluster_1306,cluster_1304,O94855,Q15436,group3,1,robust_correct,3
