complex_id,rank,model_weight,seed,DockQ,acceptable,acceptable_score,ranking_confidence,selector
1a22__B1_P10912--1a22__A1_P01241,1,3,3,0.712227739022913,True,0.866308027677767,87.375,candidate_ridge_v1_iface_size
1aor__A1_Q51739--1aor__B1_Q51739,1,2,0,0.9232179069699614,True,0.8571023522706298,88.875,candidate_ridge_v1_iface_size
1b3q__B1_Q56310--1b3q__A1_Q56310,1,2,3,0.3565377439920534,True,0.4366377456184969,55.90625,candidate_ridge_v1_iface_size
1b7e__A1_Q46731--1b7e__A2_Q46731,1,2,1,0.7810456643138058,True,0.691929239915511,71.0,candidate_ridge_v1_iface_size
1bed__A1_P32557--1bed__A2_P32557,1,3,3,0.90534195021465,True,0.8250238732432887,78.0625,candidate_ridge_v1_iface_size
1bl4__A1_P62942--1bl4__B1_P62942,1,3,0,0.0176767603813217,False,0.8125504734329114,71.8125,candidate_ridge_v1_iface_size
1boy__A1_P13726--1boy__A2_P13726,1,4,2,0.0054806596203427,False,0.5999402161195422,67.875,candidate_ridge_v1_iface_size
1cdd__A1_P08179--1cdd__B1_P08179,1,4,1,0.0070469744777235,False,0.6794120140038238,77.4375,candidate_ridge_v1_iface_size
1dov__A1_P26231--1dov__A2_P26231,1,3,2,0.7288057425382591,True,0.8082240233223613,81.0625,candidate_ridge_v1_iface_size
1e1c__A1_P11653--1e1c__B1_P11652,16,1,3,0.897450727532742,True,0.8172312608286835,94.9375,candidate_ridge_v1_iface_size
1e5s__A1_O09345--1e5s__B2_O09345,1,5,0,0.0682889959251928,False,0.6016782516668369,65.6875,candidate_ridge_v1_iface_size
1evx__A1_Q94702--1evx__B1_Q94702,1,3,3,0.010925439496474,False,0.850547960347966,83.9375,candidate_ridge_v1_iface_size
1exs__A1_P04119--1exs__A2_P04119,1,3,3,0.3011266108835699,True,0.5876549026889278,66.5625,candidate_ridge_v1_iface_size
1f8u__A1_P22303--1f8u__B1_P0C1Z0,1,3,0,0.1074135757276404,False,0.5619253886793838,52.21875,candidate_ridge_v1_iface_size
