complex_id,rank,model_weight,seed,DockQ,acceptable,acceptable_score,ranking_confidence,selector
1a22__B1_P10912--1a22__A1_P01241,1,3,3,0.712227739022913,True,0.6250493776789978,87.375,candidate_ridge_v2_group_softmax
1aor__A1_Q51739--1aor__B1_Q51739,1,2,0,0.9232179069699614,True,0.6250493776789978,88.875,candidate_ridge_v2_group_softmax
1b3q__B1_Q56310--1b3q__A1_Q56310,1,2,3,0.3565377439920534,True,0.6041514277288459,55.90625,candidate_ridge_v2_group_softmax
1b7e__A1_Q46731--1b7e__A2_Q46731,1,2,1,0.7810456643138058,True,0.6250493776789978,71.0,candidate_ridge_v2_group_softmax
1bed__A1_P32557--1bed__A2_P32557,1,3,3,0.90534195021465,True,0.6141891395042925,78.0625,candidate_ridge_v2_group_softmax
1bl4__A1_P62942--1bl4__B1_P62942,1,3,0,0.0176767603813217,False,0.6292050664610533,71.8125,candidate_ridge_v2_group_softmax
1boy__A1_P13726--1boy__A2_P13726,1,4,2,0.0054806596203427,False,0.6057816328548233,67.875,candidate_ridge_v2_group_softmax
1cdd__A1_P08179--1cdd__B1_P08179,1,4,1,0.0070469744777235,False,0.6182721497555,77.4375,candidate_ridge_v2_group_softmax
1dov__A1_P26231--1dov__A2_P26231,1,3,2,0.7288057425382591,True,0.6141891395042925,81.0625,candidate_ridge_v2_group_softmax
1e1c__A1_P11653--1e1c__B1_P11652,3,4,1,0.8780828307520663,True,0.5579417934155779,95.25,candidate_ridge_v2_group_softmax
1e5s__A1_O09345--1e5s__B2_O09345,1,5,0,0.0682889959251928,False,0.6108971228124181,65.6875,candidate_ridge_v2_group_softmax
1evx__A1_Q94702--1evx__B1_Q94702,3,5,3,0.0081590347435443,False,0.6078378965361613,82.4375,candidate_ridge_v2_group_softmax
1exs__A1_P04119--1exs__A2_P04119,1,3,3,0.3011266108835699,True,0.6097615374320218,66.5625,candidate_ridge_v2_group_softmax
1f8u__A1_P22303--1f8u__B1_P0C1Z0,1,3,0,0.1074135757276404,False,0.6330882756104621,52.21875,candidate_ridge_v2_group_softmax
1fd3__A1_O15263--1fd3__C1_O15263,1,3,0,0.0294831960716535,False,0.6141891395042925,82.8125,candidate_ridge_v2_group_softmax
1foe__A1_Q60610--1foe__B1_P63000,2,1,2,0.4811629523529454,True,0.6017043542358321,87.0625,candidate_ridge_v2_group_softmax
1g6u__A1_UNDEFINED--1g6u__B1_UNDEFINED,1,1,1,0.7275139921499552,True,0.6250493776789978,84.0625,candidate_ridge_v2_group_softmax
1gmg__A1_P03051--1gmg__A2_P03051,1,4,3,0.1445360533665282,False,0.6330882756104621,87.1875,candidate_ridge_v2_group_softmax
1gri__A1_P62993--1gri__B1_P62993,1,1,0,0.0441608601924013,False,0.6253594691362577,47.28125,candidate_ridge_v2_group_softmax
1hh4__A1_P63000--1hh4__C1_P52565,1,4,0,0.4206780323224839,True,0.6108971228124181,70.75,candidate_ridge_v2_group_softmax
1hni__A1_P03366--1hni__B1_P03367,2,1,1,0.1460378731164565,False,0.6079770369160316,59.78125,candidate_ridge_v2_group_softmax
1i7f__A1_P0A6Y5--1i7f__A2_P0A6Y5,1,1,2,0.7098499974227678,True,0.6250493776789978,87.3125,candidate_ridge_v2_group_softmax
