complex_id,rank,model_weight,seed,DockQ,acceptable,acceptable_score,ranking_confidence,selector
1a22__B1_P10912--1a22__A1_P01241,1,3,3,0.712227739022913,True,0.5846624313332986,87.375,candidate_ridge_v2_group_softmax_pen30
1aor__A1_Q51739--1aor__B1_Q51739,1,2,0,0.9232179069699614,True,0.5846624313332986,88.875,candidate_ridge_v2_group_softmax_pen30
1b3q__B1_Q56310--1b3q__A1_Q56310,3,2,0,0.3680319629716597,True,0.5660029871573838,53.90625,candidate_ridge_v2_group_softmax_pen30
1b7e__A1_Q46731--1b7e__A2_Q46731,1,2,1,0.7810456643138058,True,0.5846624313332986,71.0,candidate_ridge_v2_group_softmax_pen30
1bed__A1_P32557--1bed__A2_P32557,1,3,3,0.90534195021465,True,0.5774426293228085,78.0625,candidate_ridge_v2_group_softmax_pen30
1bl4__A1_P62942--1bl4__B1_P62942,1,3,0,0.0176767603813217,False,0.5861301478119495,71.8125,candidate_ridge_v2_group_softmax_pen30
1boy__A1_P13726--1boy__A2_P13726,1,4,2,0.0054806596203427,False,0.5716073754277242,67.875,candidate_ridge_v2_group_softmax_pen30
1cdd__A1_P08179--1cdd__B1_P08179,1,4,1,0.0070469744777235,False,0.579248423499488,77.4375,candidate_ridge_v2_group_softmax_pen30
1dov__A1_P26231--1dov__A2_P26231,1,3,2,0.7288057425382591,True,0.5774426293228085,81.0625,candidate_ridge_v2_group_softmax_pen30
1e1c__A1_P11653--1e1c__B1_P11652,3,4,1,0.8780828307520663,True,0.5394258953152683,95.25,candidate_ridge_v2_group_softmax_pen30
1e5s__A1_O09345--1e5s__B2_O09345,1,5,0,0.0682889959251928,False,0.5754918732045256,65.6875,candidate_ridge_v2_group_softmax_pen30
1evx__A1_Q94702--1evx__B1_Q94702,3,5,3,0.0081590347435443,False,0.5728883392243486,82.4375,candidate_ridge_v2_group_softmax_pen30
1exs__A1_P04119--1exs__A2_P04119,1,3,3,0.3011266108835699,True,0.5732291287180609,66.5625,candidate_ridge_v2_group_softmax_pen30
1f8u__A1_P22303--1f8u__B1_P0C1Z0,1,3,0,0.1074135757276404,False,0.5891107816938552,52.21875,candidate_ridge_v2_group_softmax_pen30
1fd3__A1_O15263--1fd3__C1_O15263,1,3,0,0.0294831960716535,False,0.5774426293228085,82.8125,candidate_ridge_v2_group_softmax_pen30
1foe__A1_Q60610--1foe__B1_P63000,2,1,2,0.4811629523529454,True,0.5675025169120053,87.0625,candidate_ridge_v2_group_softmax_pen30
1g6u__A1_UNDEFINED--1g6u__B1_UNDEFINED,1,1,1,0.7275139921499552,True,0.5846624313332986,84.0625,candidate_ridge_v2_group_softmax_pen30
1gmg__A1_P03051--1gmg__A2_P03051,1,4,3,0.1445360533665282,False,0.5891107816938552,87.1875,candidate_ridge_v2_group_softmax_pen30
1gri__A1_P62993--1gri__B1_P62993,1,1,0,0.0441608601924013,False,0.5837088021277561,47.28125,candidate_ridge_v2_group_softmax_pen30
1hh4__A1_P63000--1hh4__C1_P52565,1,4,0,0.4206780323224839,True,0.5754918732045256,70.75,candidate_ridge_v2_group_softmax_pen30
1hni__A1_P03366--1hni__B1_P03367,2,1,1,0.1460378731164565,False,0.5736615612550597,59.78125,candidate_ridge_v2_group_softmax_pen30
1i7f__A1_P0A6Y5--1i7f__A2_P0A6Y5,1,1,2,0.7098499974227678,True,0.5846624313332986,87.3125,candidate_ridge_v2_group_softmax_pen30
1ira__B1_P14778--1ira__A1_P18510,1,5,2,0.704973812566681,True,0.547803018389316,88.9375,candidate_ridge_v2_group_softmax_pen30
1k04__A1_Q05397--1k04__A2_Q05397,1,4,1,0.6350024461672643,True,0.5763876575731628,80.375,candidate_ridge_v2_group_softmax_pen30
1k51__A1_Q51912--1k51__A2_Q51912,1,1,1,0.0265439975694308,False,0.5719322020675388,59.4375,candidate_ridge_v2_group_softmax_pen30
1k72__B1_P37700--1k72__A1_P37700,1,4,1,0.0020686534517434,False,0.5595283366920533,38.4375,candidate_ridge_v2_group_softmax_pen30
1krl__B1_P02882--1krl__A1_P02881,1,2,3,0.8504889730461812,True,0.5846624313332986,87.5625,candidate_ridge_v2_group_softmax_pen30
1kzh__A1_P70826--1kzh__B1_P70826,5,3,0,0.9056692076714072,True,0.5659406199613759,93.0,candidate_ridge_v2_group_softmax_pen30
1luj__A1_P35222--1luj__B1_Q9JJN6,1,5,1,0.7630902109145564,True,0.5685259344525367,91.125,candidate_ridge_v2_group_softmax_pen30
1lyw__B1_P07339--1lyw__A1_P07339,1,2,3,0.4619035519666518,True,0.5717446419521562,94.5,candidate_ridge_v2_group_softmax_pen30
1mr1__A1_Q13485--1mr1__D1_P12755,1,4,1,0.9119560463003415,True,0.5762552542623962,91.3125,candidate_ridge_v2_group_softmax_pen30
1na6__B1_P14633--1na6__A1_P14633,1,1,3,0.650444251171018,True,0.5617866658878122,71.375,candidate_ridge_v2_group_softmax_pen30
1nfp__A1_P09142--1nfp__A2_P09142,1,2,1,0.478855888012756,True,0.5871338329951155,69.125,candidate_ridge_v2_group_softmax_pen30
1ny5__B1_O67198--1ny5__A1_O67198,1,4,2,0.0954033617891848,False,0.5576681744007465,41.96875,candidate_ridge_v2_group_softmax_pen30
1ogy__A1_Q53176--1ogy__B1_Q53177,2,5,2,0.6170488647124958,True,0.57584895728817,93.25,candidate_ridge_v2_group_softmax_pen30
1on8__A1_Q9ES89--1on8__B1_Q9ES89,1,4,1,0.6094457135708579,True,0.5891107816938552,72.875,candidate_ridge_v2_group_softmax_pen30
1ory__A1_O67806--1ory__B1_O67803,1,1,0,0.7833672594034556,True,0.5736615612550597,92.6875,candidate_ridge_v2_group_softmax_pen30
1pfo__A1_P0C2E9--1pfo__A2_P0C2E9,1,4,0,0.0046131047310679,False,0.5846624313332986,80.375,candidate_ridge_v2_group_softmax_pen30
1ptq__A1_P28867--1ptq__A2_P28867,1,1,0,0.5356969038367914,True,0.5871338329951155,66.5,candidate_ridge_v2_group_softmax_pen30
1qb3__B1_P20486--1qb3__A1_P20486,2,5,3,0.0104478141791365,False,0.5653955891260709,75.0625,candidate_ridge_v2_group_softmax_pen30
1qf8__A1_P67870--1qf8__B1_P67870,2,5,0,0.0556056096493495,False,0.5804161737842686,54.9375,candidate_ridge_v2_group_softmax_pen30
1qqf__A1_P01026--1qqf__A2_P01026,1,4,0,0.5873776681589512,True,0.5754918732045256,85.5,candidate_ridge_v2_group_softmax_pen30
1qrk__B1_P00488--1qrk__A1_P00488,1,4,0,0.6106249151971914,True,0.5766746844766247,75.9375,candidate_ridge_v2_group_softmax_pen30
1qxx__A1_P02929--1qxx__A2_P02929,1,2,1,0.7630832708597183,True,0.5774426293228085,78.5,candidate_ridge_v2_group_softmax_pen30
1r5p__B1_Q8YT41--1r5p__A1_Q8YT41,1,5,0,0.0455987290758567,False,0.5754918732045256,53.03125,candidate_ridge_v2_group_softmax_pen30
1rj9__B1_O07347--1rj9__A1_P83749,1,4,3,0.8990108090767972,True,0.5728460276582593,89.9375,candidate_ridge_v2_group_softmax_pen30
1rk4__A1_O00299--1rk4__B1_O00299,1,1,0,0.0254779958424484,False,0.5651382395295809,27.203125,candidate_ridge_v2_group_softmax_pen30
1s4k__A1_Q8ZPR1--1s4k__B1_Q8ZPR1,1,4,3,0.0376470693995013,False,0.5754918732045256,29.46875,candidate_ridge_v2_group_softmax_pen30
1s70__A1_P62207--1s70__B1_Q90623,1,4,0,0.7275811782277941,True,0.5745769727502905,88.625,candidate_ridge_v2_group_softmax_pen30
1smx__A1_P21513--1smx__B1_P21513,1,1,0,0.0153498445538025,False,0.5846624313332986,33.59375,candidate_ridge_v2_group_softmax_pen30
1spp__B1_P35496--1spp__A1_P35495,1,3,3,0.3660599810221559,True,0.5851104032773322,57.625,candidate_ridge_v2_group_softmax_pen30
1t6b__A1_P13423--1t6b__B1_P58335,4,3,3,0.1033438365939373,False,0.5552575105425517,28.84375,candidate_ridge_v2_group_softmax_pen30
1t6l__A1_P16790--1t6l__A2_P16790,1,1,2,0.3610030019593815,True,0.5835673530311674,41.09375,candidate_ridge_v2_group_softmax_pen30
1tej__B1_P0C6B5--1tej__A1_P0C6B4,2,4,2,0.8284310544585732,True,0.5833551176416522,79.75,candidate_ridge_v2_group_softmax_pen30
1tf0__A1_P02768--1tf0__B1_Q51911,1,5,1,0.8599519092712029,True,0.5791951555069379,94.875,candidate_ridge_v2_group_softmax_pen30
1tj7__A1_P11447--1tj7__B1_P11447,1,4,3,0.0251540870247101,False,0.5774426293228085,87.625,candidate_ridge_v2_group_softmax_pen30
1ujw__A1_P06129--1ujw__B1_P00646,1,5,0,0.8470985296867936,True,0.5732831729655773,90.25,candidate_ridge_v2_group_softmax_pen30
1v5v__A1_O58888--1v5v__B1_O58888,1,1,1,0.801073856130179,True,0.5891107816938552,91.3125,candidate_ridge_v2_group_softmax_pen30
1vc1__A1_Q9X1F5--1vc1__B1_Q9X1F5,1,5,3,0.906277161243982,True,0.5871338329951155,87.75,candidate_ridge_v2_group_softmax_pen30
1vf6__A1_Q8NI35--1vf6__C1_Q9JLB2,1,5,0,0.8263850762211051,True,0.5871338329951155,82.0,candidate_ridge_v2_group_softmax_pen30
1vp7__B1_Q7VV85--1vp7__A1_Q7VV85,3,2,2,0.804842340927061,True,0.571973196595836,86.1875,candidate_ridge_v2_group_softmax_pen30
1x3w__A1_Q02890--1x3w__B1_P32628,1,1,0,0.5632389870291314,True,0.5798983125919255,89.0,candidate_ridge_v2_group_softmax_pen30
1xsv__A1_P67248--1xsv__B1_P67248,1,1,1,0.774596053778201,True,0.5870359699448224,67.6875,candidate_ridge_v2_group_softmax_pen30
1yt5__A1_Q9X255--1yt5__D1_Q9X255,1,1,1,0.0121181521907579,False,0.5891107816938552,90.375,candidate_ridge_v2_group_softmax_pen30
