complex_id,rank,model_weight,seed,DockQ,acceptable,acceptable_score,ranking_confidence,selector
1a22__B1_P10912--1a22__A1_P01241,16,2,2,0.6823175844965276,True,0.9716307520866394,84.25,pairwise_jaccard_nn_1x19
1aor__A1_Q51739--1aor__B1_Q51739,8,4,0,0.0086027185186051,False,0.6055149435997009,26.96875,pairwise_jaccard_nn_1x19
1b3q__B1_Q56310--1b3q__A1_Q56310,12,4,2,0.3572257850611308,True,0.9090645909309387,48.59375,pairwise_jaccard_nn_1x19
1b7e__A1_Q46731--1b7e__A2_Q46731,17,5,3,0.784945910512297,True,0.9550333619117737,54.375,pairwise_jaccard_nn_1x19
1bed__A1_P32557--1bed__A2_P32557,8,3,2,0.577325226972271,True,0.9803662896156311,59.15625,pairwise_jaccard_nn_1x19
1bl4__A1_P62942--1bl4__B1_P62942,13,4,3,0.0146362276427371,False,0.8966423273086548,41.03125,pairwise_jaccard_nn_1x19
1boy__A1_P13726--1boy__A2_P13726,15,1,2,0.0045555007598033,False,0.2635689079761505,17.59375,pairwise_jaccard_nn_1x19
1cdd__A1_P08179--1cdd__B1_P08179,1,4,1,0.0070469744777235,False,0.999138593673706,77.4375,pairwise_jaccard_nn_1x19
1dov__A1_P26231--1dov__A2_P26231,15,4,1,0.5387706214362165,True,0.20665541291236877,23.109375,pairwise_jaccard_nn_1x19
1e1c__A1_P11653--1e1c__B1_P11652,6,4,3,0.8848930295749645,True,0.8780366778373718,95.1875,pairwise_jaccard_nn_1x19
1e5s__A1_O09345--1e5s__B2_O09345,16,1,0,0.0969251311814948,False,0.9994693398475647,46.59375,pairwise_jaccard_nn_1x19
1evx__A1_Q94702--1evx__B1_Q94702,8,5,1,0.0082699114596067,False,0.9997333884239197,76.5625,pairwise_jaccard_nn_1x19
1exs__A1_P04119--1exs__A2_P04119,1,3,3,0.3011266108835699,True,0.9999040365219116,66.5625,pairwise_jaccard_nn_1x19
1f8u__A1_P22303--1f8u__B1_P0C1Z0,1,3,0,0.1074135757276404,False,0.813713014125824,52.21875,pairwise_jaccard_nn_1x19
1fd3__A1_O15263--1fd3__C1_O15263,15,1,1,0.0298515884004237,False,1.0,66.125,pairwise_jaccard_nn_1x19
1foe__A1_Q60610--1foe__B1_P63000,15,1,1,0.4790788598113865,True,0.9868460893630981,83.375,pairwise_jaccard_nn_1x19
1g6u__A1_UNDEFINED--1g6u__B1_UNDEFINED,17,4,1,0.720957920814806,True,0.9237716794013977,68.75,pairwise_jaccard_nn_1x19
1gmg__A1_P03051--1gmg__A2_P03051,4,4,1,0.1328083610455947,False,0.9999998807907104,84.8125,pairwise_jaccard_nn_1x19
1gri__A1_P62993--1gri__B1_P62993,1,1,0,0.0441608601924013,False,0.888187825679779,47.28125,pairwise_jaccard_nn_1x19
1hh4__A1_P63000--1hh4__C1_P52565,4,5,2,0.5004368687620168,True,0.6898263692855835,59.6875,pairwise_jaccard_nn_1x19
1hni__A1_P03366--1hni__B1_P03367,16,3,2,0.1443112330593413,False,0.9999964237213135,43.125,pairwise_jaccard_nn_1x19
1i7f__A1_P0A6Y5--1i7f__A2_P0A6Y5,19,5,1,0.0955127249355496,False,0.9996238946914673,65.1875,pairwise_jaccard_nn_1x19
1ira__B1_P14778--1ira__A1_P18510,5,4,3,0.6452046945285992,True,0.9882763028144836,88.4375,pairwise_jaccard_nn_1x19
1k04__A1_Q05397--1k04__A2_Q05397,10,5,2,0.6732089582789431,True,0.9732093214988708,74.625,pairwise_jaccard_nn_1x19
1k51__A1_Q51912--1k51__A2_Q51912,9,3,2,0.0294380913186867,False,0.4364824593067169,16.078125,pairwise_jaccard_nn_1x19
1k72__B1_P37700--1k72__A1_P37700,12,1,3,0.004891905766621,False,0.4413089454174042,26.109375,pairwise_jaccard_nn_1x19
1krl__B1_P02882--1krl__A1_P02881,4,4,0,0.865078284838726,True,0.9760154485702515,86.1875,pairwise_jaccard_nn_1x19
1kzh__A1_P70826--1kzh__B1_P70826,14,4,0,0.9053463719298792,True,0.9167675971984863,92.0625,pairwise_jaccard_nn_1x19
1luj__A1_P35222--1luj__B1_Q9JJN6,12,1,0,0.7786035006063585,True,0.8945546746253967,89.9375,pairwise_jaccard_nn_1x19
1lyw__B1_P07339--1lyw__A1_P07339,7,1,3,0.4662106692999019,True,0.8785150647163391,94.125,pairwise_jaccard_nn_1x19
1mr1__A1_Q13485--1mr1__D1_P12755,7,3,1,0.9009035299445776,True,0.9394134283065796,90.9375,pairwise_jaccard_nn_1x19
1na6__B1_P14633--1na6__A1_P14633,13,5,2,0.244651584711997,True,0.9984943866729736,53.65625,pairwise_jaccard_nn_1x19
1nfp__A1_P09142--1nfp__A2_P09142,3,2,3,0.4181445615473148,True,0.2996324896812439,55.0625,pairwise_jaccard_nn_1x19
1ny5__B1_O67198--1ny5__A1_O67198,19,2,1,0.0883617993091938,False,0.9957720637321472,33.09375,pairwise_jaccard_nn_1x19
1ogy__A1_Q53176--1ogy__B1_Q53177,1,5,3,0.6190365685698871,True,0.9699912071228027,93.3125,pairwise_jaccard_nn_1x19
1on8__A1_Q9ES89--1on8__B1_Q9ES89,10,1,3,0.57965368941894,True,0.9999971389770508,59.875,pairwise_jaccard_nn_1x19
1ory__A1_O67806--1ory__B1_O67803,17,5,0,0.772395640064839,True,0.8745818734169006,92.0,pairwise_jaccard_nn_1x19
1pfo__A1_P0C2E9--1pfo__A2_P0C2E9,12,5,1,0.0046179415509141,False,0.7756280303001404,46.625,pairwise_jaccard_nn_1x19
1ptq__A1_P28867--1ptq__A2_P28867,16,4,2,0.4754967192182789,True,0.9964092373847961,56.75,pairwise_jaccard_nn_1x19
1qb3__B1_P20486--1qb3__A1_P20486,15,3,1,0.0105073094680632,False,0.6499934196472168,56.59375,pairwise_jaccard_nn_1x19
1qf8__A1_P67870--1qf8__B1_P67870,8,1,0,0.0904371811650481,False,0.16332411766052246,40.46875,pairwise_jaccard_nn_1x19
1qqf__A1_P01026--1qqf__A2_P01026,9,2,2,0.3560470046428248,True,0.41091036796569824,53.53125,pairwise_jaccard_nn_1x19
1qrk__B1_P00488--1qrk__A1_P00488,12,5,1,0.2075382939765195,False,0.9739251136779785,59.53125,pairwise_jaccard_nn_1x19
1qxx__A1_P02929--1qxx__A2_P02929,18,1,3,0.037017774125763,False,0.05426415428519249,41.4375,pairwise_jaccard_nn_1x19
1r5p__B1_Q8YT41--1r5p__A1_Q8YT41,4,5,3,0.0545079412097325,False,0.8234792947769165,32.15625,pairwise_jaccard_nn_1x19
1rj9__B1_O07347--1rj9__A1_P83749,16,3,2,0.8129979475747148,True,0.9803967475891113,86.9375,pairwise_jaccard_nn_1x19
