metric,n,positive_count,positive_rate,spearman_rho,roc_auc,average_precision,spearman_rho_ci_low,spearman_rho_ci_high,spearman_rho_bootstrap_valid,roc_auc_ci_low,roc_auc_ci_high,roc_auc_bootstrap_valid,average_precision_ci_low,average_precision_ci_high,average_precision_bootstrap_valid,metric_group
ranking_confidence,10000,5074,0.5074,0.6608358871802922,0.8574244102428196,0.833426118584715,0.6020784498983742,0.7137202144065731,1000,0.8321399196177023,0.8820141673054759,1000,0.7798085148242203,0.8810744354502745,1000,AF confidence
iptm_full_precision,10000,5074,0.5074,0.6587487867107765,0.8565760244123873,0.8355704587027826,0.5993639313514736,0.7110436321654647,1000,0.8317163987182109,0.8815725759850958,1000,0.7845941315712311,0.8822012679114694,1000,AF confidence
pDockQ2_min,10000,5074,0.5074,0.6413734402692812,0.8469940055669793,0.7982533704868056,0.5801036480003035,0.6942861417939052,1000,0.8207457610991936,0.8719761382849155,1000,0.7457764992537348,0.8516079336311547,1000,AF-derived confidence
pDockQ2_mean,10000,5074,0.5074,0.6453119398467538,0.849163200707483,0.8020289105328081,0.5845325997362574,0.6985032852816274,1000,0.8228280585180092,0.8740737905232521,1000,0.750265701459314,0.8551562130702995,1000,AF-derived confidence
iLIS,10000,5074,0.5074,0.6469850047143604,0.8392934588392241,0.8132717098310469,0.5917938522258073,0.6988136645108953,1000,0.8134341826802406,0.8654775202318262,1000,0.765832209851351,0.8595357058006105,1000,AF-derived confidence
ipSAE,10000,5074,0.5074,0.642154194288569,0.8447941037004746,0.8113413561985872,0.5809399149190302,0.6946819604636166,1000,0.8186832886812968,0.872082664934967,1000,0.7547043883576071,0.8668802775018458,1000,AF-derived confidence
actifpTM,10000,5074,0.5074,0.6006634127534294,0.8357224966556674,0.7964349670474222,0.5390660457507176,0.6551354444960457,1000,0.8080173797500494,0.8649380703470303,1000,0.7378728323469314,0.8538046027056408,1000,AF-derived confidence
bsa_a2,10000,5074,0.5074,0.12555408905554089,0.5826825907946876,0.5561075140936932,0.04877642125599576,0.19812715029218836,1000,0.5417441249346585,0.62258620318036,1000,0.5018179100007484,0.6177217919425928,1000,Physics
bsa_per_interface_residue,9994,5074,0.5077046227736642,0.35463989861328676,0.7007347356682081,0.6511828593437201,0.3025636735526051,0.4080359541881165,1000,0.6717513688892401,0.7315781175330522,1000,0.6053124098789241,0.700643978131424,1000,Physics
contact_density,10000,5074,0.5074,-0.02346289191262774,0.47572936375983793,0.4499867715429605,-0.08510875684021402,0.04001327319311099,1000,0.441342937299678,0.5111463885437334,1000,0.4103621305872266,0.4942645161716054,1000,Physics
largest_contact_component_fraction,9994,5074,0.5077046227736642,0.19667154578617613,0.5846469206956555,0.5617344460691028,0.13816826530173532,0.2566858830097049,1000,0.5540084299288541,0.6161976605071434,1000,0.5202289557396023,0.6047598168753974,1000,Physics
hydrophobic_contact_fraction,9994,5074,0.5077046227736642,0.17874393210450124,0.5918671747566904,0.5640415288270252,0.10585223551259652,0.25381056252433365,1000,0.5543361964063763,0.6305466639250332,1000,0.5177028816977742,0.6157332331682618,1000,Physics
salt_bridge_density,9999,5074,0.5074507450745075,0.17835337518673278,0.6043061972152248,0.5674271908451657,0.11103911218828734,0.24962638374088536,1000,0.5702290903678869,0.6407030177073876,1000,0.5190649139103715,0.6217455830451913,1000,Physics
negative_clash_density,9994,5074,0.5077046227736642,0.4896773019515297,0.7716693945861414,0.7083619454277931,0.4336386402791622,0.5415761287846221,1000,0.7446515181997885,0.800106916569681,1000,0.662795274823579,0.7500469640516766,1000,Physics
negative_backbone_clashes,10000,5074,0.5074,0.3455781023704671,0.6429901805691519,0.5928729758278741,0.30677631899399144,0.385549146053125,1000,0.6254171371374594,0.6616091748705436,1000,0.5557461542791853,0.6316231586476576,1000,Physics
negative_same_charge_density,9999,5074,0.5074507450745075,0.1630178043539095,0.5819010022229381,0.5473541496262325,0.10482921158366765,0.21992021214271576,1000,0.5532396274409538,0.6135411361324301,1000,0.5041020284285218,0.5920402142065637,1000,Physics
negative_component_count,10000,5074,0.5074,0.18857689753173767,0.5790401529551032,0.5565077610366076,0.12936749182639498,0.2509446065338691,1000,0.5477287637904531,0.6097280072330457,1000,0.5144016658608278,0.598497624060649,1000,Physics
