metric,metric_group,valid_systems,median_within_system_spearman,q25_within_system_spearman,q75_within_system_spearman,positive_within_system_fraction,selector_acceptable_rate,selector_mean_DockQ
ranking_confidence,AF confidence,500,0.2266583515962108,-0.16691729323308271,0.5654667041894699,0.65,0.6,0.42434334416814606
iptm_full_precision,AF confidence,500,0.23890028396844504,-0.17580124216721696,0.5488941493477804,0.662,0.604,0.42513753570763413
pDockQ2_min,AF-derived confidence,500,0.19627736823851924,-0.18984962406015035,0.5675557873893651,0.642,0.6,0.4252468226100543
pDockQ2_mean,AF-derived confidence,500,0.1955252057182345,-0.1809456034478883,0.567723191750324,0.642,,
iLIS,AF-derived confidence,469,0.22255639097744356,-0.16842105263157892,0.5383458646616541,0.6545842217484008,0.59,0.41822697534867664
ipSAE,AF-derived confidence,464,0.25787506407458527,-0.16992481203007515,0.5388666678094328,0.6508620689655172,0.588,0.4191236131601617
actifpTM,AF-derived confidence,500,0.22172099013923668,-0.11561274589560391,0.5304126995178465,0.678,,
bsa_a2,Physics,500,0.21654135338345865,-0.22781954887218042,0.5515037593984962,0.642,0.512,0.3631137006966013
bsa_per_interface_residue,Physics,500,0.057894736842105256,-0.2755639097744361,0.3285714285714285,0.526,,
contact_density,Physics,499,0.07669172932330826,-0.23350262528773486,0.3826177082791413,0.5591182364729459,,
largest_contact_component_fraction,Physics,449,0.06165413533834586,-0.2823798383065376,0.34925320087884165,0.5501113585746102,0.562,0.39509781281629225
hydrophobic_contact_fraction,Physics,499,-0.002260744285182584,-0.32976217580094735,0.40377566944865184,0.49498997995991983,,
salt_bridge_density,Physics,445,-0.02376194364354261,-0.2983930050072846,0.32377589018898423,0.47415730337078654,,
negative_clash_density,Physics,480,0.11449699276060314,-0.22527511541245646,0.40525995809787535,0.575,0.574,0.40684001735549746
negative_backbone_clashes,Physics,266,0.07542656160350829,-0.23416541675451485,0.37796447300922725,0.5639097744360902,,
negative_same_charge_density,Physics,444,0.07247403423582081,-0.24292544413748515,0.37796447300922725,0.5608108108108109,,
negative_component_count,Physics,444,0.011406943182777258,-0.29771239433370567,0.3310741944495332,0.5112612612612613,,
